epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6522,3.54226,4.84707,2.2062,0,0,0,0,3.00529,4.76811,1.86848,0.088012,1.2e-05,1.2e-05
2,89.7924,3.04444,4.52335,1.88366,0,0,0,0,2.93313,4.62991,1.93331,0.0750249,2.49322e-05,2.49322e-05
3,138.847,2.99718,4.41998,1.85846,0,0,0,0,3.11822,4.54319,1.9947,0.0620376,3.7589e-05,3.7589e-05
4,196.098,3.08684,4.26486,1.85012,0,0,0,0,3.07707,4.52977,1.87315,0.0490498,4.97644e-05,4.97644e-05
5,234.077,3.06659,4.25642,1.81277,0,0,0,0,2.8066,4.52818,1.66697,0.0360613,6.12611e-05,6.12611e-05
6,280.394,2.97594,4.2895,1.7583,0,0,0,0,2.63622,4.51143,1.57148,0.0230719,7.18936e-05,7.18936e-05
7,337.397,2.97114,4.28036,1.74896,0.00061,0.02193,0.00038,0.00016,2.56093,4.48941,1.53326,0.0100815,8.14917e-05,8.14917e-05
8,390.246,2.96162,4.26406,1.76556,0.00055,0.04386,0.0004,0.00015,2.54671,4.47633,1.52753,8.72857e-05,8.72857e-05,8.72857e-05
9,463.983,3.00115,4.2479,1.75404,0.00106,0.0614,0.00068,0.00022,2.5433,4.44805,1.52821,8.3622e-05,8.3622e-05,8.3622e-05
10,520.008,2.96853,4.22785,1.72129,0.00153,0.06579,0.00095,0.00027,2.54776,4.43583,1.53133,7.95954e-05,7.95954e-05,7.95954e-05
11,574.492,2.91204,4.27016,1.73658,0.00145,0.07018,0.00095,0.00033,2.56119,4.41367,1.54024,7.525e-05,7.525e-05,7.525e-05
12,626.664,2.91003,4.21249,1.67211,0.0015,0.07456,0.00101,0.00035,2.57518,4.39631,1.54843,7.06335e-05,7.06335e-05,7.06335e-05
